step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.02,dy,0.02,dz,0.02
0,0,0,0,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,5,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,6,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,7,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,8,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,9,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,10,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,11,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,12,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,13,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,14,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,15,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,16,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,17,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,18,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,19,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,20,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,21,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,0,22,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,5,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,6,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,7,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,8,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,9,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,10,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,11,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,12,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,13,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,14,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,15,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,16,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,17,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,18,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,19,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,20,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,21,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,1,22,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,5,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,6,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,7,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,8,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,9,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,10,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,11,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,12,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,13,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,14,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,15,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,16,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,17,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,18,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,19,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,20,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,21,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,2,22,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,5,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,6,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,7,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,8,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,9,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,10,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,11,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,12,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,13,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,14,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,15,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,16,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,17,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,18,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,19,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,20,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,21,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,3,22,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,5,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,6,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,7,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,8,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,9,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,10,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,11,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,12,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,13,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,14,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,15,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,16,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,17,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,18,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,19,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,20,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,21,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,4,22,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,0,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,1,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,2,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,3,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,4,20,0,0,0.02587,1.225,1005,0,0,0,0
0,0,0,5,5,20,0,0,0.02587,1.225,1005,0,0,0,0
