step,time,x,y,z,T,qdot,is_component,k,rho,cp,vx,vy,vz,h
dx,0.1,dy,0.1,dz,0.01
0,0,0,0,0,20,50000,1,130,2330,700,0,0,0,0
0,0,0,0,1,20,50000,1,130,2330,700,0,0,0,0
0,0,0,0,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,4,20,9629.72,1,150,2700,900,0,0,0,0
0,0,0,0,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,8,20,133333,1,120,2300,700,0,0,0,0
0,0,0,0,9,20,133333,1,120,2300,700,0,0,0,0
0,0,0,0,10,20,133333,1,120,2300,700,0,0,0,0
0,0,0,0,11,20,133333,1,120,2300,700,0,0,0,0
0,0,0,0,12,20,133333,1,120,2300,700,0,0,0,0
0,0,0,0,13,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,14,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,15,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,16,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,17,20,1.2e+06,0,130,2330,700,0,0,0,0
0,0,0,0,18,20,569318,0,15,2700,900,0,0,0,0
0,0,0,0,19,20,569318,0,15,2700,900,0,0,0,0
0,0,0,0,20,20,569318,0,15,2700,900,0,0,0,0
0,0,0,0,21,20,569318,1,15,2700,900,0,0,0,0
0,0,0,0,22,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,23,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,24,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,25,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,26,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,27,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,28,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,29,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,0,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,0,20,50000,1,130,2330,700,0,0,0,0
0,0,0,1,1,20,50000,1,130,2330,700,0,0,0,0
0,0,0,1,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,4,20,9629.72,1,150,2700,900,0,0,0,0
0,0,0,1,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,7,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,8,20,133333,1,120,2300,700,0,0,0,0
0,0,0,1,9,20,133333,1,120,2300,700,0,0,0,0
0,0,0,1,10,20,133333,1,120,2300,700,0,0,0,0
0,0,0,1,11,20,133333,1,120,2300,700,0,0,0,0
0,0,0,1,12,20,133333,1,120,2300,700,0,0,0,0
0,0,0,1,13,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,14,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,15,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,16,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,17,20,569318,1,15,2700,900,0,0,0,0
0,0,0,1,18,20,569318,1,15,2700,900,0,0,0,0
0,0,0,1,19,20,569318,1,15,2700,900,0,0,0,0
0,0,0,1,20,20,569318,1,15,2700,900,0,0,0,0
0,0,0,1,21,20,569318,1,15,2700,900,0,0,0,0
0,0,0,1,22,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,23,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,24,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,25,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,26,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,27,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,28,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,29,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,30,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,31,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,32,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,33,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,34,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,35,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,36,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,37,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,38,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,39,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,40,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,41,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,42,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,43,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,1,44,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,0,20,100000,1,130,2330,700,0,0,0,0
0,0,0,2,1,20,100000,1,130,2330,700,0,0,0,0
0,0,0,2,2,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,3,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,4,20,9629.72,1,150,2700,900,0,0,0,0
0,0,0,2,5,20,0,0,0.02587,1.225,1005.5,0,0,0,0
0,0,0,2,6,20,0,0,0.02587,1.225,1005.5,0,0,0,0
